Word(s),Spoken Form (If Different)
API,A P I
DNS
Github
Gmail
HMRC
HSBC
PR
PRs
Pokey
Schwab
URL, U R L
VPN
admin
app
arg
args
async
cheatsheet
config
css
csv
cursorless
cursorless, cursor list
debounce
debounced
delimiter
delimiters
dfa
dir
doc,dock
docker
docs,docks
edit
edits
enum,eenum
fifo
flashcard,flash card
flashcards,flash cards
fontello
git
html
infer
json,jason
karabiner
knausj,mouse jay
lodash
matcher
matchers
meta
min
misrecognized
mkfifo,make fifo
node
node.js,no js
nonce
nth,enth
null
parser
parsers
pytest,pi test
pytorch,pie torch
snippet
subword
subwords
svg
synology
timeout
todo,to do
tuple
uri,you are I
util,you till
vscode,van cake
walkthrough
walkthroughs
wiki
parse tree
javascript
grapheme
graphemes
modal
revset,rev set
branchless
tokenizer
ide
eslint
tsconfig
LaTeX,lay tech
scope
endpoint
endpoints
OAS
YML,Yamal
endpoint,end point
endpoints,end points
front-end, front end
under-documented,under documented
API, ay pee eye
id
